date,topline,headline,content
30.11.2009 21:56 Uhr,EU und China beraten Klimaschutz,"""Handfestes Abkommen"" oder unzureichende Zusagen?","Die EU-Vertreter lobten zwar die Bereitschaft Chinas, den CO2-Ausstoß zu reduzieren, Reinfeldt kritisierte aber: ""Die globalen Zusagen, die auf dem Tisch liegen, reichen nicht aus. Es muss mehr getan werden."" Barroso verlangte von China und allen anderen Ländern, bei den Verhandlungen bis an ihre ""äußersten Grenzen"" zu gehen. China hatte in der vergangenen Woche erstmals konkrete Klimaschutzziele angekündigt. Die Volksrepublik will ihre Treibhausgas-Emissionen bis 2020 um 40 bis 45 Prozent drosseln - allerdings nur relativ zum Bruttoinlandsprodukt. Dies dürfte den Anstieg des chinesischen CO2-Ausstoßes lediglich verlangsamen. In Kopenhagen sollen die Grundlagen für ein Nachfolgeabkommen für das 2012 auslaufende Kyoto-Klimaprotokoll erarbeitet werden. Experten warnen allerdings, dass sich mit den bisher zugesagten Reduktionen des Treibhausgas-Ausstoßes eine wirksame Begrenzung des Temperaturanstiegs auf der Erde nicht erreichen lasse. Der Chef des UN-Umweltprogramms, Achim Steiner, hielt in der ""Frankfurter Rundschau"" aber ein ""handfestes Abkommen"" in Kopenhagen für möglich. Es kämen ""immer mehr positive Signale"" von den teilnehmenden Ländern. Steiner lobte die USA und China, die mit Präsident beziehungsweise Premier in Kopenhagen vertreten sein werden. ""Die beiden Länder stehen für 40 Prozent des weltweiten Kohlendioxid-Ausstoßes. Ihre Bereitschaft, mit konkreten Angeboten in die Verhandlungen einzutreten, ist Voraussetzung für einen Erfolg in Kopenhagen"", sagte er. Die Obama-Regierung plant eine CO2-Minderung um 17 Prozent, allerdings gemessen am Stand von 2005. "
30.11.2009 18:24 Uhr,November 2009,GM will Opel doch behalten,"01. November 2009: Der US-Mittelstandsfinanzierer CIT ist zahlungsunfähig und beantragt Gläubigerschutz, um sich in einem geordneten Insolvenzverfahren zu sanieren. Das insolvente Versandhaus Quelle startet den nach eigenen Angaben größten Ausverkauf Deutschlands mit 18 Millionen Artikeln. 02. November 2009: Die teilverstaatlichte Commerzbank meldet für das dritte Quartal einen Milliardenverlust. Der US-Autokonzern Ford verbucht dagegen für das dritte Quartal überraschend einen Milliardengewinn. 03. November 2009: Der Verwaltungsrat des Autokonzerns GM gibt bekannt, dass er Opel nicht verkauft und stattdessen in Eigenregie sanieren will. Großbritannien gewährt den teilverstaatlichten Banken Lloyds und RBS weitere Milliardenhilfen, zwingt beide Institute aber zum Verkauf hunderter Filialen und einiger Geschäftsbereiche. 04. November 2009: Der deutsche Bankenrettungsfonds SoFFin bewilligt der verstaatlichten Immobilienbank Hypo Real Estate weitere drei Milliarden Euro Hilfe. 05. November 2009: Mit Arbeitsniederlegungen und Protestaktionen wenden sich Tausende Opel-Mitarbeiter an den vier deutschen Standorten gegen den Verbleib bei GM. Teile des Versandhauses Quelle einschließlich der Rechte an der Marke Quelle werden vom Konkurrenten Otto übernommen. Der insolvente Modekonzern Escada wird an die Familie des indischen Stahl-Magnaten Mittal verkauft. 06. November 2009: Der GM-Europachef Carl-Peter Forster soll vor der Opel-Sanierung das Unternehmen verlassen - parallel tauschen die Bundesländer ihren Vertreter im Opel-Treuhandbeirat aus. Nach neuerlichen Milliardenverlusten braucht der US-Hypothekenfinanzierer Fannie Mae weitere Staatshilfen in Höhe von 15 Milliarden Dollar. Die US-Arbeitslosenquote steigt infolge der Wirtschaftskrise zum ersten Mal seit 1983 wieder über die Zehn-Prozent-Marke. 07. November 2009: Die Mitarbeiter der Arcandor-Tochter Karstadt verzichten auf 150 Millionen Euro, um ihrem insolventen Unternehmen das Überleben zu sichern. 09. November 2009: In Essen treffen sich die Gläubiger des insolventen Arcandor-Konzerns. Viel Hoffnung auf eine Bezahlung ihrer Forderungen kann ihnen der Insolvenzverwalter nicht machen. 10. November 2009: Die Karstadt-Gläubiger stimmen einer Fortführung des Geschäftsbetriebs zu. Sechs Häuser werden allerdings geschlossen, elf weitere stehen auf dem Prüfstand. Nick Reilly wird Übergangschef von GM Europa; GM gerät wegen seiner Entscheidung, Opel nicht zu verkaufen, ins Visier der Kanzlerin und der gescheiterten Käufer Magna und Sberbank. Die Bayern-LB rechnet mit einem erneuten Milliardenverlust. 11. November 2009: Bei der Versammlung der Gläubiger des insolventen Versandhändlers Quelle verteidigt Insolvenzverwalter Görg seinen Kurs. Das Ende des Traditionsunternehmen ist besiegelt: Es werden keine Anträge mehr gestellt. Bundeswirtschaftsminister Brüderle kritisiert den Umgang des US-Autokonzerns General Motors mit Opel. Der verstaatlichte Immobilienfinanzierer HRE fährt im dritten Quartal einen Verlust von 574 Millionen Euro ein. 12. November 2009: Der Energieversorger RWE bekommt die Wirtschaftskrise zu spüren und verzeichnet Rückgänge bei Umsatz und Ergebnis. Der Autobauer BMW konnte selbst in der globalen Krise seinen Absatz in China steigern, jetzt will er ein weiteres Werk in dem Land errichten. Vom Weihnachtsgeschäft in der Krise erwartet der Handel in diesem Jahr ein Minus - wenn auch kein so großes, wie zunächst befürchtet. Die Klage ehemaliger HRE-Kleinaktionäre gegen die Verstaatlichung wird möglicherweise dem Europäischen Gerichtshof (EuGH) vorgelegt. Das stellte das Landgericht München in Aussicht. 13. November 2009: Die deutsche Wirtschaft erholt sich schneller als gedacht: Im dritten Quartal legte das Bruttoinlandsprodukt im Vergleich zum Vorquartal real um 0,7 Prozent zu. Die Wirtschaftsweisen sind verhalten optimistisch: In ihrem Jahresgutachten erwarten sie für 2010 ein Wachstum von 1,6 Prozent. Die Bundesagentur für Arbeit teilt mit, dass die Zahl der vermuteten Betrugsfälle beim Kurzarbeitergeld rasant ansteigt. Es gibt Verwirrung um die Pläne von GM: Während Wirtschaftsminister Brüderle erfahren haben will, dass US-Konzern die Sanierung der Tochter Opel aus eigener Kraft finanzieren will, spricht der Konzern davon, auch deutsche Staatshilfe in Anspruch nehmen zu wollen. 14. November 2009: Wirtschaftsminister Brüderle weist die Kritik der Wirtschaftsweisen an den Steuersenkungsplänen der Regierung zurück. 16. November 2009: Trotz Wirtschaftskrise gibt sich Airbus-Chef Tom Enders im Interview mit der ARD optimistisch. GM erwirtschaftet auch im ersten Quartal nach der Insolvenz einen Milliardenverlust, sieht aber dennoch eine Trendwende. Bund und Länder streiten über Staatshilfe für die deutsche GM-Konzerntochter Opel. 20. November 2009: Neue Hoffmann für Karmann: Volkswagen will Teile des insolventen Auftragsfertigers übernehmen und am Standort Osnabrück wieder 1000 Arbeitsplätze in der Autoproduktion schaffen. Bundesregierung und Bankenbranche streiten offen über die richtigen Konsequenzen aus der Finanzkrise. So warnten Spitzenpolitiker, darunter Kanzlerin Merkel, davor, leichtfertig zur Normalität zurückzukehren. 21. November 2009: Mehrere EU-Staaten haben offenbar dem Opel-Mutterkonzern GM finanzielle Unterstützung angeboten, um die Werke im jeweiligen Land zu retten, berichtet der ""Spiegel"". 22. November 2009: Bundesarbeitsminister Jung kündigt an, dem Kabinett eine Verlängerung der krisenbedingten Sonderregelungen zur Kurzarbeit vorzuschlagen. 23. November 2009: Die HSH Nordbank will auf weitere Staatshilfe verzichten und sich das Geld lieber auf dem Kapitalmarkt besorgen. Anders als die Großkonzerne haben die kleineren und mittleren Unternehmen trotz Krise auch 2008 ihre Investitionen insgesamt erhöht, wie aus dem KfW-Mittelstandspanel hervorgeht. Beim Opel-Gipfel in Brüssel kommen die EU-Staaten überein, künftig bei Verhandlungen mit GM mit einer Stimme zu sprechen. 24. November 2009: Noch hält GM den Opel-Sanierungsplan unter Verschluss, aber ein paar wichtige Punkte teilt GM-Europachef Reilly schon mit: Die Werke in Bochum und Kaiserslautern dürfen bleiben. Die Kurzarbeit - wichtiges Instrument gegen Arbeitslosigkeit in der Krise - soll verlängert werden. Darüber sind sich Kanzlerin, Arbeitgeber und Gewerkschaften einig. Leasing-Unternehmen verzeichnen in der Krise in diesem Jahr den größten Umsatzrückgang ihrer Geschichte. 25. November 2009: Das Bundeskabinett verlängert die Kurzarbeiter-Regelung über das Jahresende hinaus. Die zunehmende Angst vor Arbeitslosigkeit und steigende Energiepreise trüben die Verbraucherlaune im November laut GfK-Konsumklima-Index. Immer mehr Details des GM-Sanierungsplans für Opel werden bekannt: In Europa sollen knapp 9000 Stellen wegfallen, aber alle vier deutschen Werke bleiben erhalten. 26. November 2009: Ausgerechnet die Bauherren der gigantischen Palmeninsel vor der Küste Dubais haben Zahlungsschwierigkeiten. Die Geldnöte in dem einstigen Boom-Emirat erschüttern die Finanzmärkte. Seit mit der Wirtschaftskrise die Nachfrage nach chinesischen Produkten einbrach, wird die Überproduktion zum Problem. 27. November 2009: Das DIW sagt für das vierte Quartal ein Wirtschaftswachstum von 0,8 Prozent voraus. 30. November 2009: Infolge der Finanzprobleme Dubais verzeichnen die arabischen Börsen hohe Kursverluste. Das insolvente Versandhaus Quelle beendet nach einem Monat seinen Internet-Ausverkauf. Die Opel-Treuhandgesellschaft wird aufgelöst und der 65-Prozent-Anteil zurück an den US-Mutterkonzern General Motors überagen. "
30.11.2009 18:23 Uhr,Weitergabe von Bankverbindungsdaten,Kabinettskrach wegen SWIFT-Entscheidung,"Der EU-Beschluss zur Weitergabe von Bankverbindungsdaten an die USA hat zu heftigen Reaktionen geführt. Bundesjustizministerin Sabine Leutheusser-Schnarrenberger (FDP) kritisierte, die Brüsseler Entscheidung sei gegen ihren Widerstand zustande gekommen. ""Diese Entscheidung verunsichert Millionen von Bürgerinnen und Bürgern in Europa"", erklärte sie. Die FDP hatte ähnlich wie Opposition und Bundesrat auf ein hohes Datenschutzniveau bei dem neuen Abkommen gedrungen. ""Diese Mahnung wurde nicht gehört"", sagte Leutheusser-Schnarrenberger. Damit stellt sich die Justizministerin offen gegen Bundesinnenminister Thomas de Maizière (CDU). Dieser machte durch seine Enthaltung im EU-Ministerrat den Weg für die umstrittene Vereinbarung frei, die zum 1. Februar in Kraft treten soll und bis Ende Oktober 2010 gilt. Anschließend soll es ein dauerhaftes Abkommen geben. De Maizière betonte, ein ""nicht vollständig befriedigendes Abkommen"" sei ""besser als kein Abkommen"". Er verwies auch auf eine mit Leutheusser-Schnarrenberger abgestimmte Protokollerklärung. Darin unterstreicht die Regierung ihre Bedenken, was Daten- und Rechtsschutz betrifft. Scharfe Kritik kam auch von der Opposition. ""Es ist ein schwerer Geburtsfehler, dass das Abkommen am letzten Tag vor dem Inkrafttreten des Lissabon-Vertrages ohne Beteiligung des Europäischen Parlaments durchgeboxt wurde"", monierte SPD-Fraktionsvize Olaf Scholz. Der Rechtsexperte der Linkspartei, Jan Korte, bezeichnete das Abkommen als ""Katastrophe für den Datenschutz"". Die Grünen beantragten eine Aktuelle Stunde im Bundestag. Die Länder hatten die Bundesregierung am Freitag aufgerufen, dem SWIFT-Abkommen nur zuzustimmen, wenn die verfassungsmäßigen Anforderungen gewahrt blieben. Der Bundesdatenschutzbeauftragte Peter Schaar sagte, mit der Vereinbarung werde die Übermittlung zahlreicher Bank-Daten ""mit nur marginalem, indirektem oder sogar nur mutmaßlichem Bezug zum Terrorismus"" legitimiert. Die im Zentralen Kreditausschuss (ZKA) zusammengeschlossenen Spitzenverbände der deutschen Banken nannten die Datenschutz-Bedenken ungelöst. Die Daten - darunter die Namen von Absender und Empfänger einer Überweisung und die Adresse - können für maximal fünf Jahre gespeichert werden. Die Bürger erfahren in der Regel nichts von dem Zugriff. SWIFT geht davon aus, dass auch andere internationale Anbieter betroffen sind, etwa Kreditkartenunternehmen. Europaparlamentarier bemängelten zudem die Eile, mit der das Abkommen vor dem Inkrafttreten des Lissabon-Vertrags beschlossen wurde. ""Der Ministerrat hat einen Fehlstart für den Lissabon-Vertrag hingelegt"", kritisierte der CSU-Europaabgeordnete Manfred Weber. Die SPD-Europaabgeordnete Birgit Sippel sprach von einem ""Affront"". Der Lissabon-Vertrag gibt der Volksvertretung ein Mitspracherecht. Nach Angaben eines Diplomaten kann das Parlament das Abkommen nach seinem Inkrafttreten theoretisch noch kippen. Dies gilt aber als unwahrscheinlich. Die US-Regierung begrüßte den EU-Beschluss. Er trage dazu bei, ""tödliche Terror-Anschläge rund um die Welt zu vereiteln"", hieß es in einer Erklärung in Washington. "
30.11.2009 18:23 Uhr,Treuhandgesellschaft aufgelöst,Opel gehört wieder General Motors,"Die Opel-Treuhandgesellschaft ist aufgelöst worden. Der Autohersteller ist damit wieder im alleinigen Besitz des US-Mutterkonzerns General Motors (GM). ""Die Anteile an der Adam Opel GmbH (65 Prozent) wurden an GM zurückübertragen"", teilte das Bundeswirtschaftsministerium mit. Zuvor hatte GM den staatlichen Überbrückungskredit fristgerecht zurückgezahlt. Die zur Absicherung des Kreditrahmens von 1,5 Milliarden Euro geleisteten Sicherheiten wurden laut Wirtschaftsministerium freigegeben. Alle damit verbundenen Kosten habe Opel beglichen. Ursprünglich sollten der Zulieferer Magna und die russische Sberbank die Opel-Mehrheit übernehmen. GM entschloss sich jedoch nach Abschluss des eigenen Insolvenzverfahrens gegen den Verkauf. Damit wurde die Treuhandgesellschaft überflüssig, in der neben GM auch die Bundesregierung vertreten war. Bei der nun vorgesehenen Sanierung von Opel will GM europaweit rund 9000 Stellen abbauen, davon bis zu 5400 in Deutschland. Noch ist unklar, ob der US-Konzern dabei auch deutsche Staatshilfen beantragen wird. Bundeswirtschaftsminister Rainer Brüderle äußerte sich dazu erneut ablehnend. "
30.11.2009 15:53 Uhr,Bischof über Schweizer Volksabstimmung,"""Minarett-Verbot stößt Muslime vor den Kopf""","Die Schweizer Volkspartei jubelt über den Ausgang der Volksabstimmung, bei der sich eine Mehrheit für das Verbot von Minaretten aussprach. Europaweit wird nun über das Zusammenleben von Christen und Muslimen diskutiert - und über Ausmaß und Grenzen von Religionsfreiheit. tagesschau.de sprach darüber mit dem Hamburger Weihbischof Hans-Jochen Jaschke. tagesschau.de: Ist es aus Sicht der Kirche vertretbar, den Bau von Minaretten zu untersagen? Hans-Jochen Jaschke: Ich halte diese Entscheidung für falsch. Die Kirchen in Deutschland haben ausdrücklich darauf hingewiesen, dass Muslime bei uns Religionsfreiheit genießen. Religionsfreiheit bedeutet auch, dass man sich nach außen zeigen kann. Wir treten für Moscheebau ein, und dazu gehören eben auch Minarette. Natürlich braucht man überall angemessene Lösungen. In einem christlich geprägten Land ist entsprechende Zurückhaltung angebracht, in muslimisch geprägten Ländern werden sich Christen auch angemessen verhalten. Aber wir fordern auch gerade in muslimisch geprägten Ländern Religionsfreiheit für Christen. Das Schweizer Votum trägt nur zum Unfrieden bei. Ein friedfertiges Miteinander der Religionen und Kulturen wird damit nicht gefördert. tagesschau.de: Eine Moschee ohne ein Minarett ist also kein angemessener Gebetsraum für eine Glaubensgemeinschaft? Jaschke: Eine Moschee ohne Minarett ist nach muslimischen Verständnis nicht möglich. Aber natürlich muss die Höhe eines Minaretts angemessen sein, man muss Rücksicht auf die Umgebung nehmen, und die Bevölkerung muss dies auch akzeptieren können. tagesschau.de: Minarette sind nach Auffassung der Schweizer Volkspartei ein Symbol für eine ""schleichende Islamisierung des Landes"". Haben Sie den Eindruck, dass es einen solchen Prozess in Europa, also auch in Deutschland gibt? tagesschau.de: Auch führende Christdemokraten sagen, es gebe auch in Deutschland Angst vor einer Islamisierung der Gesellschaft. Wie begegnet man einer solchen Stimmung? Jaschke: Angst ist nie ein guter Ratgeber. Angst überwindet man, indem man sich kennenlernt, indem man vor Ort nach gemeinsamen Lösungen sucht und Vertrauen schafft. Durch eine Blockade wird Angst eher noch geschürt, und dann führt das Ergebnis nicht weiter. tagesschau.de: Wie muss dieses Votum auf die muslimische Gemeinde wirken? Jaschke: Man stößt die Muslime damit vor den Kopf. Für Muslime wie für Christen ist so ein Votum sicher eine Herausforderung, dass wir stärker in den Dialog gehen. Aber wir haben schon den Tag der Offenen Moschee, Christen laden umgekehrt ein, in ihre Gemeinden zu kommen. All diese Begegnungen müssen verstärkt werden. Ich möchte auf keinen Fall, dass neues Misstrauen gestärkt wird. tagesschau.de: Wie sollte die Katholische Kirche auf das Votum in der Schweiz reagieren? Jaschke: Eine direkte Konsequenz gibt es nicht. Wir treten für ein friedliches Miteinander der Religionen ein, wir stehen im Dialog und ermutigen die Gemeinden, diesen Dialog zu führen. Ich denke, wir sollten auch die Leute in der Schweiz nicht dämonisieren, sondern dafür gewinnen, dass man voneinander lernen kann und dass es gut ist, wenn Religionen miteinander im Frieden leben. Das Gespräch führte Eckart Aretz, tagesschau.de "
30.11.2009 15:51 Uhr,Treffen der Innen- und Justizminister,EU billigt SWIFT-Vertrag,"Die EU-Staaten haben grünes Licht für das umstrittene EU-Abkommen mit den USA zum Austausch von Bankdaten gegeben. Die Vereinbarung wurde mit den Enthaltungen Deutschlands, Österreichs, Ungarns und Griechenlands angenommen. Gegenstimmen gab es nicht. Bundesinnenminister Thomas de Maizière erklärte anschließend, ""ein nicht vollständig befriedigendes Abkommen"" sei ""auch im Interesse des Datenschutzes besser als kein Abkommen"". Ohne das neue Abkommen über die Weitergabe von Daten des Finanzdienstleisters SWIFT wäre der Transfer aber nach dem allgemeinen Rechtshilfe-Abkommen zwischen der EU und den USA erfolgt. Dieses sehe keine Einschränkungen für die Verwendung der Daten vor. De Maizière sagte weiter, Deutschland vermisse unter anderem eine Regelung, wonach die Swift-Daten in Strafverfahren nur mit Zustimmung jenes EU-Mitgliedstaates verwendet werden dürften, aus dem sie stammen. Die Vereinbarung schafft eine Rechtsgrundlage dafür, dass US-Terrorismusfahnder auch in Zukunft auf Zahlungsdaten des globalen Bankdienstleisters SWIFT zugreifen können. Die US-Behörden werten diese Informationen bereits seit 2002 aus, um Extremisten und deren Finanzierungsquellen aufzuspüren. Das Übergangsabkommen wird eine Laufzeit von nur neun statt der geplanten zwölf Monate haben. In den kommenden Monaten soll ein neues und dauerhaftes Abkommen ausgehandelt werden. An diesen Verhandlungen soll dann auch das Europaparlament beteiligt werden, das ab morgen mit dem Inkrafttreten des Lissabon-Vertrages einen Anspruch auf Mitwirkung hat. In Deutschland war das Abkommen zwischen Bundesjustizministerin Sabine Leutheusser-Schnarrenberger und Bundesinnenminister Thomas de Maizière umstritten. Das neue Abkommen wurde notwendig, weil SWIFT zum Jahresende den Server mit europäischen Zahlungstransfers aus den USA in die Niederlande verlagert. Die US-Fahnder hätten ohne neue Vereinbarung keinen Zugriff mehr auf die Daten. Umstritten bleibt, ob der Datenschutz ausreichend gesichert ist. Deutsche Banken und Sparkassen gaben zu Bedenken, dass betroffene Bankkunden sich nicht ausreichend vor unerwünschtem Auskundschaften schützen könnten. Auch sei die Einsichtnahme nicht ausdrücklich auf SWIFT begrenzt, und die Daten könnten an Drittstaaten ohne mit Europa vergleichbarem Datenschutzstandard weitergegeben werden. Diplomaten zufolge ist bei dem Abkommen jedoch die Datenweitergabe an Drittstaaten ausgeschlossen. Auch sei keine Rasterfahndung von Überweisungsdaten möglich. "
30.11.2009 11:09 Uhr,Treffen der Innen- und Justizminister,EU kurz vor SWIFT-Einigung,"Die Justiz- und Innenminister der Europäischen Union wollen heute über das umstrittene Bankdaten-Abkommen mit den USA abstimmen. Bisher konnten sie sich wegen Datenschutz-Bedenken nicht einigen. Die schwedische Justizministerin Beatrice Ask, die in der Funktion des EU-Ratsvorsitzenden die Beratung leitet, dringt nun auf eine sofortige Unterzeichnung: ""Ich hoffe, wir werden heute ein Interimsabkommen haben"", sagte sie vor der Sitzung. ""Es ist wichtig, dass wir das Geld von Terroristen verfolgen."" Ask verwies darauf, dass das Interimsabkommen höchstens ein Jahr lang gelten soll und dass danach unter Beteiligung des Parlaments ein dauerhaftes Abkommen ausgehandelt werden soll. Insbesondere Deutschland und Österreich hatten erhebliche Bedenken gegen den Abschluss des Interimsabkommens mit den USA geäußert. Österreich gab unterdessen seinen Widerstand gegen das Abkommen auf. Die Innenministerin des Landes, Maria Fekter, sagte: ""Ein verminderter Rechtsschutz ist allemal besser als gar keiner."" Die EU will den Zugang der US-Behörden zum Finanzdienstleister SWIFT ermöglichen, um Überweisungen zwischen EU-Staaten und Drittländern auf mögliche Finanzierungen von Terrornetzwerken zu überprüfen. Überweisungen innerhalb der EU sind nicht betroffen. Die USA fragen diese Verbindungsdaten bislang aus einem Rechenzentrum des Finanzdienstleisters SWIFT in Virginia ab. Ab 2010 will SWIFT Überweisungsdaten europäischer Bankkunden aber nur noch in europäischen Rechenzentren speichern, auf die die USA ohne das umstrittene Abkommen keinen Zugriff hätten. Bei einer Zustimmung der EU-Innenminister träte das Interimsabkommen provisorisch am 1. Februar 2010 in Kraft. Sollte es heute keine Einigung geben, so müsste wegen des Inkrafttretens des Lissabon-Vertrags am 1. Dezember 2009 ein neues Mandat für die Verhandlungen der EU mit den USA beschlossen werden. Dies würde mehrere Monate dauern. "
27.11.2009 15:37 Uhr,Neue EU-Kommission vorgestellt,Oettinger übernimmt Kernressort Energie,"Jetzt ist es bestätigt: Der deutsche EU-Kommissar Oettinger wird für Energiefragen zuständig sein. Damit erhält er ein wichtiges Ressort - was die Bundesregierung freut. Viele Schlüsselpositionen sind mit alten Bekannten besetzt. Von Birgit Schmeitzner, BR-Hörfunkstudio Brüssel Eigentlich hatte José Manuel Barroso noch etwas warten wollen. Doch der Druck auf den EU-Kommissionschef, doch endlich die Ressortverteilung in der neuen Kommission bekannt zu geben, wurde zu groß. Die Posten sind also zugeordnet, für den deutschen Kommissar Günther Oettinger ist der Bereich Energie vorgesehen. Wobei Barroso betonte: Er vergebe die Ressorts nicht an Länder sondern an Menschen, an Europäer. Das ist auch aus der Reaktion der Bundesregierung herauszuhören. In Berlin hieß es, man sei glücklich, Oettinger werde eine tragende Rolle einnehmen. Wobei eines auch klar ist: Es kommt darauf an, was der deutsche Kommissar aus seinem Ressort macht. Und hier meldet der Chef der deutschen Unionsabgeordneten im Europaparlament, Werner Langen, erste Bedenken an. Langen befürchtet, dass Oettinger zu wenig Gestaltungsspielraum haben wird. Ansonsten fällt auf, dass Barroso viele Schlüsselpositionen in seinem neuen Team mit altbekannten Gesichtern besetzt. So bekommt zum Beispiel der Finne Olli Rehn die Wirtschafts- und Währungspolitik, Joaquin Almunia aus Spanien das Ressort Wettbewerb. Neu geschaffen wurde das Ressort Klima, die bisherige dänische Klimaministerin Connie Hedegaard ist dafür vorgesehen - übrigens eine von neun weiblichen Kommissaren im Team der 27. Barroso sagte, Hedegaard werde die europäischen Visionen nach außen, aber auch nach innen bei ihren künftigen Kollegen vertreten. Klimaschutz, so Kommissionschef Barroso, reiche in eigentlich alle Politikfelder hinein, sei es Industrie oder Landwirtschaft, Transport, Forschung oder Ausbildung. Die Kandidaten sind also vorgeschlagen, jetzt ist das Europaparlament am Zug. Die Parlamentarier werden Mitte Januar die Mitglieder des Kollegiums auf Herz und Nieren prüfen - und sie haben dabei das Recht, Kandidaten als ungeeignet abzulehnen. Die Wahl der neuen Kommission soll nach dem jetzigen Zeitplan am 20. Januar stattfinden. "
27.11.2009 13:25 Uhr,"DIW erwartet 0,8 Prozent Wachstum zum Jahresende",Langer Zwischenspurt der deutschen Wirtschaft,"Die Wirtschaftsforscher sehen die Industrie mit einem Plus von zwei Prozent als Triebfeder der konjunkturellen Erholung. Die Baubranche werde voraussichtlich von den staatlichen Konjunkturprogrammen profitieren und ihre Geschäfte um 0,2 Prozent ausweiten. Auch bei Dienstleistern und Handel sind wieder Zuwächse in Sicht. Im Vergleich zum Vorjahr fällt die Wirtschaftsleistung aber immer noch um 4,7 Prozent schwächer aus. Für das Gesamtjahr 2009 dürfte das Bruttoinlandsprodukt in Deutschland damit trotz der jüngsten Konjunkturbelebung so stark einbrechen wie nie zuvor in der Geschichte der Bundesrepublik. "
27.11.2009 13:03 Uhr,Neue EU-Kommission,Oettinger wird EU-Energiekommissar,"EU-Kommissionspräsident Jose Manuel Barroso hat in Brüssel seine neue Kommission vorgestellt. Der jetzige baden-württembergische Ministerpräsident Oettinger wird als Kommissar für Energiepolitik zuständig sein. Er bekommt damit ein schwergewichtiges Wirtschaftsressort, das die Bundesregierung erhofft hatte. ""Energie ist eines der wichtigsten Ressorts"", erklärte EU-Kommissionschef Barroso. Mindestens sechs EU-Staaten hätten sich diese Aufgabe für ihren neuen Kommissar gewünscht. Als Ministerpräsident von Baden-Württemberg habe Oettinger seine Kompetenz in wirtschaftspolitischen Fragen unter Beweis gestellt, fügte Barroso hinzu. Für sich betrachtet sei das Bundesland ""die achtgrößte Volkswirtschaft Europas"". Wie Barroso weiter mitteilte, wird der Franzose Michel Barnier Kommissar für das Ressort EU-Binnenmarkt. Der Spanier Joaquín Almunia übernimmt das Wettbewerbsressort. Die Niederländerin Neelie Kroes, bisher für das Ressort verantwortlich war, ist künftig für die Digitalwirtschaft in Europa zuständig. Das vom bisherigen deutschen EU-Kommissar Günter Verheugen verantwortete Ressort Industrie- und Unternehmenspolitik geht an den Italiener Antonio Tajani. Neuer Handelskommissar wird der Belgier Karel de Gucht. Wirtschafts- und Währungskommissar wird der Finne Olli Rehn. Zudem wurde ein Kommissarsposten für Klimapolitik geschaffen, den die Dänin Connie Hedegaard übernimmt. Die 49-jährige Konservative war bisher dänische Klimaministerin. Der neuen EU-Kommission gehören 13 Konservative, acht Liberale und sechs Sozialdemokraten an. Neun der 27 EU-Staaten haben Kandidatinnen für die neue Brüsseler Behörde ernannt. Damit sitzt künftig eine Frau mehr als derzeit in der Kommission. Zwölf der Nominierten gehören erstmals der Kommission an. Die Ernennung muss dann noch vom Europaparlament gebilligt werden, bevor die neue EU-Kommission im Februar ihr Amt antreten kann. Die designierten Kommissare sollen ihre Arbeit im Februar aufnehmen. Zuvor müssen sie sich einer Prüfung durch das Europaparlament stellen. Die EU-Volksvertretung muss der neuen Kommission zustimmen. Das Votum ist Ende Januar geplant. "
