date,topline,headline,content
31.03.2014 14:24 Uhr,Inflationsrate im Euroraum sinkt weiter,Die Angst vor zu wenig Teuerung,"Die Verbraucherpreise in der Eurozone sind im März so wenig gestiegen wie zuletzt während der Finanzkrise. Die Inflationsrate in den 18 Mitgliedsländern betrug 0,5 Prozent, wie die EU-Statistikbehörde Eurostat in Luxemburg in einer ersten Schätzung mitteilte. So niedrig war die Teuerung zuletzt im Herbst 2009. Die Europäische Zentralbank (EZB) sieht Preisstabilität bei der Marke von nahe, aber unterhalb von zwei Prozent gewahrt. Zuletzt hatte die EZB ihre Inflationsprognose für dieses und das kommende Jahr gesenkt, auf 1,0 beziehungsweise 1,3 Prozent. Die neue Berechnung dürfte die Sorgen um eine mögliche Deflation - also dem Absinken der Preise - in der Eurozone weiter anheizen. Gefürchtet ist sie wegen einer möglichen Kaufzurückhaltung der Verbraucher: Sie könnten hoffen, dass Güter noch billiger werden und deshalb Anschaffungen aufschieben. Damit käme eine Abwärtsspirale in Gang: Weniger Nachfrage führt zu sinkender Produktion, weniger Investitionen und Arbeitsplatzverlusten, weitere Kaufkraftverluste und weiter sinkende Nachfrage wären die Folge. Am Freitag war bekanntgeworden, dass Spanien - viertgrößte Volkswirtschaft im Euroraum - in eine leichte Deflation gefallen ist. "
31.03.2014 11:02 Uhr,März 1994,Zeitgeschichte in der Tagesschau,tagesschau.de dokumentiert das Jahr 1994 Tag für Tag mit den 20-Uhr-Ausgaben der Tagesschau. 
31.03.2014 08:57 Uhr,Hintergrund,Das IPCC und die Klimaberichte der UN,"Das Intergovernmental Panel on Climate Change (IPCC), auch (Welt-)Klimarat genannt, ist eine internationale Sachverständigengruppe, in der hunderte internationale Wissenschaftler und Vertreter von über 100 Staaten den Klimawandel auf der Erde analysieren und Gegenmaßnahmen vorschlagen sollen. Das Gremium wertet dazu den weltweiten Stand der wissenschaftlichen Forschung aus. Ein Peer-Review-Verfahren, bei dem Wissenschaftler die Ergebnisse ihrer Kollegen überprüfen, soll dabei die Qualität sichern und einen wissenschaftlichen Konsens herstellen. Ins Leben gerufen wurde das IPCC von den UN-Behörden für Meteorologie (WMO) und Umwelt (UNEP) 1998. Seitdem hat das IPCC fünf große Berichte veröffentlicht, die für Aufsehen sorgen. 1990 stellte das IPPC in seinem ersten Bericht (First Assesment Report) fest, dass sich die Erde erwärmt - und zwar so schnell wie in den letzten 10.000 Jahren nicht mehr. Eine Folge des Berichts war die Verabschiedung der Klimarahmenkonvention in Rio de Janeiro 1992. 1995 erschien der zweite IPCC-Report, der zur Grundlage für das Kyoto-Protokoll wird, in dem sich die Industriestaaten dazu verpflichten, ihre Schadstoff-Emissionen zu verringern. Der - zunächst umstrittene - Kernsatz des Berichts: ""Mehrere Anzeichen sprechen dafür, dass es einen erkennbaren menschlichen Einfluss auf das Klima gibt."" Der dritte Bericht des Klimarats bekräftigte 2001, dass die Veränderungen des Klimas andauern werden. Die durchschnittlichen Temperaturen und der Meeresspiegel werden ansteigen. Es gibt stärkere Beweise dafür, dass der Mensch dafür verantwortlich ist. Der vierte Forschungsreport erschien 2007 und gliederte sich in vier Teile. Die Grundaussage der Forscher war in allen Teilen dieselbe: Der Mensch verstärkt den Treibhauseffekt, erhitzt den Planeten mit unabsehbaren Folgen und muss entschieden gegensteuern. Das Fazit, das die Forscher am 20. November der Öffentlichkeit vorstellten, lautete: ""Die Klimaerwärmung ist eindeutig"". Das IPCC veröffentlichte am 27. September 2013 den ersten Teil des fünften Weltklimareports, der vor allem physikalische Daten enthält. Am 31. März 2014 wurde der zweite Teil veröffentlicht. Der dritte Teil soll ebenfalls 2014 erscheinen. Teil 1 des Reports behandelt die wissenschaftlichen Grundlagen, etwa die aktuellen und historischen Beobachtungen der Klimaforscher sowie die Vorhersagen der Rechenmodelle über den künftigen Verlauf der Temperatur. Die Wissenschaftler warnen darin vor einem deutlich höheren Anstieg des Meeresspiegels. Bis zum Jahr 2100 drohen die Weltmeere demnach um 26 bis 82 Zentimeter zu steigen - 2007 war lediglich mit einem Anstieg von 18 bis 59 Zentimeter gerechnet worden. Auch das Ziel die Erderwärmung auf zwei Grad zu begrenzen, wird den Prognosen zufolge verfehlt. Teil 2 hat die Auswirkungen des Klimawandels zum Thema. Treibhausgasemissionen werden das Risiko für Konflikte, Hungersnöte und Überflutungen in den kommenden Jahrzehnten vergrößern. Steigende Temperaturen erhöhten die Wahrscheinlichkeit ""schwerer, tiefgreifender und irreparabler Folgen"", warnen die Experten. Teil 3 befasst sich mit den Möglichkeiten des Menschen, den Klimawandel mindestens zu bremsen, und gibt konkrete Handlungsempfehlungen. "
31.03.2014 03:50 Uhr,Reformgesetze verabschiedet,Griechen ebnen Weg für nächste Tranche,"Das griechische Parlament hat nach langen Debatten ein umstrittenes Gesetzespaket verabschiedet und damit die Voraussetzung für weitere Milliardenkredite erfüllt. In der Nacht zu Montag stimmten 152 Abgeordnete für die Reformgesetze zur Liberalisierung der Arbeitsmärkte, 135 stimmten dagegen. Mit 151 Ja- und 136 Nein-Stimmen wurde ein Gesetz zur Rekapitalisierung der Banken verabschiedet. Damit ist der Weg frei für eine weitere Hilfstranche von mindestens 8,5 Milliarden Euro von den internationalen Gebern. Bereits am Dienstag reisen die Euro-Finanzminister nach Athen, wo sie unter anderem die neuen Kredite freigeben wollen, die aufgrund schleppender Reformanstrengungen der Regierung in Athen seit Monaten blockiert waren. ""Griechenland hat heute einen Riesenschritt gemacht"", sagte Regierungschef Antonis Samaras im Fernsehen. Das Gesetz soll in erster Linie mehrere Sektoren im Einzelhandel für mehr Wettbewerb öffnen. Die Opposition hielt der Regierung jedoch vor, weitere Klauseln im Gesetzeswerk unterbringen zu wollen, die Banken und bestimmten Geschäftsleuten zugutekommen sollen. Bei den Reformen geht es unter anderem um Deregulierungen von Tarifverträgen. Zudem soll etwa der Zugang zum Apothekerberuf erleichtert werden und Medikamente auch in Supermärkten verkauft werden können. Auch auf die Milchpreise zielen die neuen Regelungen. Milch soll billiger werden, indem die Supermärkte ihre haltbare Milch bei entsprechender Verarbeitung und Verpackung nicht wie bislang binnen fünf Tagen aus den Regalen entfernen müssen. Zudem soll Brot künftig außer in Bäckereien und Supermärkten auch in anderen Lebensmittelläden verkauft werden können. Ein Streik von Apothekern wegen der Reformpläne hatte am Freitag und am Wochenende zu chaotischen Zuständen vor den wenigen geöffneten Notapotheken in Athen geführt. Am Montag wollen die Seeleute für 48 Stunden in den Ausstand treten. Es wurde mit erheblichen Problemen im Fährverkehr in der Ägäis gerechnet. "
29.03.2014 21:48 Uhr,Stärkere Beteiligung Deutschlands,EU-Mission in Zentralafrika kann starten,"Die etwa 1000 Soldaten starke EU-Militärmission zur Stabilisierung der Zentralafrikanischen Republik kann eingesetzt werden. Bei einer Truppenstellerkonferenz habe es erhebliche Fortschritte gegeben, teilte ein Sprecher der EU-Außenbeauftragten Catherine Ashton in Brüssel mit. Mit den beiden Antonows sollen Soldaten und Material in die Hauptstadt Bangui gebracht werden. Einen Kampfeinsatz in Zentralafrika hatte die Bundesregierung immer ausgeschlossen. Die Mission wird die 6000 afrikanischen und 2000 französischen Soldaten unterstützen, die jetzt schon versuchen, die Gewalt zwischen christlichen und muslimischen Milizen in einem der ärmsten Länder der Welt einzudämmen. Die Entscheidung ist ein wichtiges politisches Signal vor dem EU-Afrika-Gipfel am Mittwoch und Donnerstag nächster Woche in Brüssel, zu dem mehr als 60 Delegationen aus Afrika erwartet werden. Sicherheit ist eines der Hauptthemen des Spitzentreffens. Zwischenzeitlich stand die Mission auf der Kippe. Frankreich warnte zuletzt Mitte März vor einem Scheitern, sollten sich nicht mehr Länder mit mehr Truppen beteiligen. Substanzielle Kontingente hatten Länder wie Polen, Estland, Lettland, Portugal und Rumänien angeboten. Nach Angaben aus Militärkreisen wurden aber wegen der Krim-Krise ursprüngliche Zusagen wieder in Frage gestellt. Die humänitäre Lage in dem Krisenland ist chaotisch. 650.000 der 4,6 Millionen Einwohner sind Vertriebene im eigenen Land. 280.000 Menschen flüchteten ins Ausland. Die EU hatte Mitte Februar nach einer Resolution des UN-Sicherheitsrates grundsätzlich den Militäreinsatz beschlossen. "
29.03.2014 17:45 Uhr,Europawahlprogramm verabschiedet,Freie Wähler setzen auf EU-Kritik,"Die Freien Wähler haben auf einem Bundesparteitag im mittelfränkischen Roth ihr Europawahlprogramm verabschiedet. Der Beschluss war nach Angaben der Partei einstimmig. Die besonders in den Kommunen verwurzelte Partei will mit ""Regionalität, Bürgernähe und Transparenz"" überzeugen. ""Europa muss künftig vom Bürger aus gedacht werden, nicht von Lobbyisten"", sagte Parteichef Hubert Aiwanger. Er warf konkurrierenden Parteien vor, das EU-Parlament als ""Elefantenfriedhof"" zu missbrauchen und die Bürger nur als Störenfried zu sehen. Die EU würde zentralistisch politische Weichen stellen, ohne die Bürger einzubinden. Die bislang im Europaparlament vertretenen Parteien und Abgeordneten hätten diese Fehlentwicklungen mit zu verantworten. Die Freien Wähler wollen Deutsch neben Französisch und Englisch als Arbeitssprache in der EU einführen und Brüssel zum einzigen Sitzungsort des EU-Parlaments machen. Spitzenkandidatin bei der Wahl zum Europäischen Parlament Ende Mai ist die Vizechefin der bayerischen Landtagsfraktion, Ulrike Müller. Sie begrüßte das Urteil des Bundesverfassungsgerichts zur Abschaffung der Drei-Prozent-Hürde bei der Europawahl. Nun falle ""endlich keine Stimme mehr unter den Tisch"". Dabei konkurriert die Partei auch mit der Alternative für Deutschland (AfD), die sich ebenfalls Chancen ausrechnet und europakritische Töne anschlägt. "
28.03.2014 22:13 Uhr,Proteste in Venezuela,37 Tote seit Mitte Februar,"Bei den Protesten gegen die Regierung in Venezuela sind nach einer jüngsten Bilanz der Behörden seit dem 12. Februar landesweit 37 Menschen ums Leben gekommen. Darunter seien acht Polizisten und Soldaten, teilte Generalstaatsanwältin Luisa Ortega Díaz mit. Die Zahl der Verletzten bezifferte sie mit 559. Auch zwei oppositionelle Bürgermeister sitzen in Haft. Sie wurden in Schnellverfahren zu Haftstrafen von zehn beziehungsweise zwölf Monaten verurteilt. Venezuelas linke Regierung geht aus Furcht vor einem Staatsstreich rigoros gegen ihre Gegner vor. Das trifft neben Politikern auch ranghohe Militärs. Anfang der Woche waren drei Luftwaffengeneräle unter dem Vorwurf der Verschwörung und Beteiligung an Putschplänen festgenommen worden. Unterdessen bot der Vatikan seine Rolle als Vermittler an. Allerdings müsse noch geprüft werden, welche Optionen es dafür gebe, sagte Vatikansprecher Federico Lombardi. So müsse der Heilige Stuhl zunächst sehen, ob eine Vermittlung das ""gewünschte Ergebnis"" bringen könne. "
28.03.2014 20:32 Uhr,Chinas Präsident zu Gast in Berlin,Xi und Merkel rücken zusammen,"China und Deutschland wollen ihre Zusammenarbeit trotz mancher Meinungsverschiedenheiten enger gestalten und auf eine breitere Basis stellen. In einer beim Besuch von Chinas Staatspräsident Xi Jinping in Berlin beschlossenen Erklärung kündigten beide Staaten an, ""sich zu regionalen und internationalen Fragen wie der Lage in der Ukraine, in Afghanistan und Syrien"" regelmäßig intensiv auszutauschen. Ziel der vertieften strategischen Zusammenarbeit in Außenpolitik und Sicherheit sei es, das ""Engagement zur Lösung regionaler und globaler Konflikte zu verstärken"". Insbesondere in den Vereinten Nationen (UN) und im Rahmen der G20 - der 19 wichtigsten Industrie- und Schwellenländer sowie der EU - wolle man enger als bisher zusammenarbeiten. Die Bundesregierung erhofft sich von der chinesischen Führung in der Entwicklung um die von Russland annektierte Krim Unterstützung gegenüber dem russischen Präsidenten Wladimir Putin. In der Bundesregierung wurde die jüngste Enthaltung Chinas bei einer Verurteilung des Krim-Referendums im UN-Sicherheitsrat sowie in der Vollversammlung als klares Zeichen der Distanzierung gewertet. Doch direkte Kritik an Russland vermied Xi. In der Krim-Krise sprach er sich für eine politische Lösung aus. China bekenne sich stets zum Grundprinzip der internationalen Beziehungen, sich nicht in die Angelegenheit anderer Staaten einzumischen und die Souveränität und Integrität anderer Länder anzuerkennen, sagte Xi. ""Alle beteiligten Seiten sollten weiter auf die politische und diplomatische Lösung des Konfliktes setzen."" Merkel sprach nach dem Treffen mit Xi von einem ""umfassenden"" Meinungsaustausch und lobte die vielschichtigen Beziehungen zu China, die im Herbst mit einer weiteren Runde der seit 2010 laufenden Regierungskonsultationen fortgesetzt werden. Sie betonte, die Beziehungen zu der zweitgrößten Wirtschaftsmacht der Welt seien mittlerweile so gut, dass man auch über Meinungsverschiedenheiten sprechen könne. Als Beispiel nannte sie Menschenrechtsverletzungen in China. Sie habe im Gespräch mit Xi darauf hingewiesen, das ""die breite und freie Meinungsäußerung ein sehr wichtiges Element"" seien, um die Kreativität einer Gesellschaft zu fördern. Xi betonte auch die Verpflichtung Chinas für eine Friedenspolitik gegenüber den Nachbarn. Die Verteidigungsausgaben, die auf einer Rekordhöhe stehen, rechtfertigte er mit der geografischen Lage Chinas und seinen langen Grenzen. Zugleich wies er den Vorwurf zurück, China stelle eine Bedrohung für seine Nachbarn dar. Der erste Besuch eines chinesischen Präsidenten in Deutschland seit acht Jahren wird auch als wichtiger Impuls gesehen, um die zuletzt stagnierenden Handelsbeziehungen wieder zu beleben. Dazu dienen auch die 18 Verträge, die im Beisein von Kanzlerin Merkel und Präsident Xi in Berlin geschlossen wurden. Neben etlichen gemeinsamen Projekten im Automobil- und anderen Wirtschaftsbereichen wurde auch ein wichtiges finanzpolitisches Projekt besiegelt. Vereinbart wurde zwischen den beiden Notenbanken, den Finanzplatz Frankfurt zu einer Drehscheibe im Handel mit der chinesischen Währung zu machen. Flankierend wollen die Deutsche Börse und die Bank of China gemeinsame Produkte und Dienstleistungen für den Kapitalmarkt entwickeln. Unter den übrigen Wirtschaftsvereinbarungen dominieren Kooperationen in der Autobranche unter Beteiligung von Volkswagen, BMW und Daimler. Das offizielle Besuchsprogramm der chinesischen Delegation hatte bei Bundespräsident Joachim Gauck begonnen. das deutsche Staatsoberhaupt mahnte rechtsstaatliche Reformen an und erinnert an die weltweite Gültigkeit der Menschenrechte. Mehrere Dutzend Demonstranten, unter ihnen Uiguren und Tibeter, protestierten vor dem Schloss Bellevue und in der Nähe des Kanzleramts gegen chinesische Menschenrechtsverletzungen. "
28.03.2014 17:46 Uhr,Präsident Xi auf Staatsbesuch in Berlin,Deutsch-chinesische Geschäfte,"Deutschland und China wollen ihre wirtschaftliche Zusammenarbeit ausbauen. Während des Besuchs von Chinas Präsident Xi Jinping in Berlin wurden mehrere Vereinbarungen unterzeichnet. Dabei handelt es sich um Absichtserklärungen, teilweise aber auch um Milliardengeschäfte: Der Finanzplatz Frankfurt soll Handelszentrum für die chinesische Währung Yuan in der Eurozone werden. Nach der Absichtserklärung von Deutscher Bundesbank sowie chinesischer Zentralbank soll eine sogenannte Clearing-Bank aufgebaut werden, über die Handelsgeschäfte in Yuan abgewickelt werden sollen. Außerhalb Asiens gibt es bisher keine solcher Drehscheiben. Die Deutsche Börse sowie die Bank of China wollen nach einer Absichtserklärung stärker kooperieren - bei der Entwicklung von Kapitalmarktprodukten sowie -dienstleistungen und der Infrastruktur. Siemens unterzeichnete mit Huaneng Power International, dem größten börsennotierten Energieerzeuger Chinas, sowie der Shanghai Electric Group eine Absichtserklärung für eine strategische Partnerschaft. Es geht um Nachrüstung und Neubau von Kraftwerken. Der Autokonzern Volkswagen will mit dem Partner Shanghai Automotive bei Brennstoffzellen- und Hybridwagen kooperieren. Mit dem Partner First Automotive Works wird unter anderem die gemeinsame Entwicklung von Fahrzeugen mit Alternativantrieben ins Auge gefasst. Der Autobauer BMW und sein Partner Brilliance Automotive wollen ihre Zusammenarbeit fortsetzen und vertiefen. Der Autokonzern Daimler will mit seinem Partner Beijing Automotive die Auto- und Motorenproduktion in Peking ausbauen. Wie der Dax-Konzern mitteilte, investieren beide Seiten gemeinsam eine Milliarde in die Kapazitätserweiterung. Die Summe ist Teil eines früheren Abkommens über Investitionen von insgesamt vier Milliarden Euro bis 2015. Nach dem Bau eines Motoren- und eines Kompaktwagenwerks in China ist die jüngste Ankündigung nun einer der nächsten großen Schritte. Der drittgrößte deutsche Autozulieferer ZF Friedrichshafen hat den Vertrag über den Verkauf seines Geschäftsfelds Gummi & Kunststoff an Times New Material Technology (TMT) unterzeichnet. - Der Bayer-Konzern will in dem Pekinger Distrikt Daxing das Werk seiner Tochtergesellschaft HealthCare erweitern. Das Berliner Entsorgungsunternehmen Alba unterzeichnete eine Absichtserklärung zur Recycling-Zusammenarbeit in der Stadt Jieyang. Die zweitgrößte deutsche Fluggesellschaft Air Berlin schloss mit der China Development Bank ein Abkommen zur Flugzeugfinanzierung. "
28.03.2014 14:31 Uhr,Sorge vor Preisverfall in der Eurozone,Spanien rutscht in die Deflation,"In Spanien sind die Preise gefallen und haben damit neue Furcht vor einer Deflation in der Eurozone geschürt. Die für europäische Vergleichszwecke harmonisierte Teuerungsrate fiel im März auf minus 0,2 Prozent. Das teilte das Statistikamt in Madrid mit. Es ist der niedrigste Wert seit Oktober 2009. Die unter die Null-Linie gefallene Teuerungsrate in Spanien dürfte bei der Europäischen Zentralbank (EZB) Sorge auslösen. Die EZB kommt am Donnerstag zu ihrer Ratssitzung zusammen. Experten erwarten allerdings keine weitere Senkung des historisch niedrigen Leitzinsniveaus von 0,25 Prozent. Dennoch ist der Preisauftrieb in der Eurozone weit niedriger, als der EZB lieb sein kann. Am Montag stehen die Zahlen für die Inflationsrate des gesamten Euroraums an. Experten rechnen mit einer Teuerungsrate von nur noch 0,6 Prozent, womit das Ziel der EZB von knapp zwei Prozent sehr weit verfehlt wird. EZB-Chef Mario Draghi sieht den Euroraum vor einer längeren Phase niedriger Inflation, befürchtet jedoch keinen Preisverfall auf breiter Front. Eine solche deflationäre Spirale kann die Wirtschaft lähmen. Denn Verbraucher und Firmen schieben in Erwartungen fallender Preise Konsum- und Investitionsentscheidungen immer weiter auf. "
