date,topline,headline,content
27.02.2010 19:33 Uhr,FAQ zur Vorratsdatenspeicherung,Wer will was speichern und warum?,"Seit 2008 müssen Verbindungsdaten von allen Festnetz- und Handy-Gesprächen sechs Monate lang gespeichert werden, seit 2009 auch Internet-Daten. Polizei und Geheimdiensten soll so die Jagd auf Kriminelle erleichtert werden. Datenschützer sehen dagegen alle Bürger unter Generalverdacht und klagen vor dem Bundesverfassungsgericht. tagesschau.de beantwortet die wichtigsten Fragen zur EU-Richtlinie zur Vorratsdatenspeicherung und dem entsprechenden Gesetz in Deutschland. Auslöser war die Angst vor weiteren Terroranschlägen. So kamen Ermittler nach den Attentaten von London 2005 einem Verdächtigen durch die Anrufe auf seinem Handy auf die Spur. Um auch nachträglich herausfinden zu können, wer wann mit wem telefoniert oder sich wie oft ins Internet eingewählt hat, verlangten Innenpolitiker die Speicherung der Verbindungsdaten für Polizei und Staatsanwaltschaft. Schon kurz nach dem 11. September 2001 hatte sich der Rat der EU-Staats- und Regierungschefs für den Ausbau der Datenspeicherung ausgesprochen. Auf Druck der Staats- und Regierungschefs stimmte das EU-Parlament für die nun gültige Richtlinie zur Vorratsdatenspeicherung. Diese EU-Vorgaben mussten von den Mitgliedsstaaten in nationales Recht umgesetzt werden. So verabschiedete der Bundestag am 9. November 2007 ein Gesetz zur Neuregelung der Telekommunikationsüberwachung und anderer verdeckter Ermittlungsmaßnahmen, das die Große Koalition eingebracht hatte. Seit 1. Januar 2008 gilt in Deutschland die Speicherpflicht für Festnetz- und Handy-Gespräche sowie bei SMS-Kommunikation. Seit 2009 müssen auch Internetdaten erfasst werden. In erster Linie geht es um Verbindungsdaten, nicht um die Inhalte der Kommunikation: Wer hat sich mit welcher IP-Adresse ins Internet eingewählt? Wann wurde von welchem Apparat welche Telefonnummer angerufen? Von wo hat ein Mobilfunk-Teilnehmer telefoniert? Einige Datenschützer warnen aber, dass sich von dem einen sehr schnell auf das andere schließen lässt und sich bei SMS Verbindungsdaten und Inhalt der Nachricht aus technischen Gründen gar nicht trennen lassen. Die Speicherung der Internet-Verbindungsdaten wurde erst 2009 verpflichtend. Die Daten dürfen laut Gesetz zur Verfolgung ""erheblicher"" oder ""mittels Telekommunikation begangener"" Straftaten verwendet werden. Nein. Je nach Land galten in der EU sehr unterschiedliche nationale Regelungen. In Deutschland mussten Telekommunikationsanbieter vor der Einführung der Vorratsdatenspeicherung die Daten nach Beenden der Verbindung eigentlich unverzüglich löschen, es sei denn, Daten wurden zu Abrechnungszwecken benötigt. Dies führte in der Praxis dazu, dass deutsche Telefonanbieter einige Verbindungsdaten durchaus eine Zeit lang speicherten. Die Vorratsdatenspeicherung macht diese Ausnahme nun zur Pflicht. Andere Verbindungsdaten wurden aber bisher gar nicht gespeichert. Auf EU-Ebene machte sich besonders Großbritannien für die Vorratsdatenspeicherung stark. Neben Innenpolitikern und Polizeivertretern sprachen sich auch Lobbyisten der Musikindustrie für die Vorratsdatenspeicherung aus: Sie hoffen, die Daten auch für die Verfolgung von Schwarzkopierern und Tauschbörsenbetreibern nutzen zu können. In Deutschland unterstützt neben Bundesinnen- und Bundesjustizministerium zum Beispiel die Gewerkschaft der Polizei die Vorratsdatenspeicherung. Sie haben zwei Hauptargumente: Die 450 Millionen EU-Bürger dürften nicht durch eine generelle Speicherung ihrer Verbindungsdaten pauschal als Terroristen oder Kriminelle verdächtigt werden. Außerdem halten sie die Vorratsdatenspeicherung für unverhältnismäßig gegenüber einem relativ geringen Nutzen. Besonders kritische Gegner sehen in der Speicherung einen weiteren Schritt zum Überwachungsstaat. Die Verbindungsdaten reichten aus, um Bewegungs- und Interessenprofile der Kommunikationsteilnehmer zu erstellen. Unzufrieden mit der Vorratsdatenspeicherung sind auch Provider und andere Internet-Firmen: Sie sehen durch den Aufwand für die Datenspeicherung deutlich höhere Kosten auf sich zukommen. Vertreter von Berufsverbänden wie Ärzten, Journalisten oder Anwälten kritisieren das Gesetz, da der Vertrauensschutz bei der Kommunikation mit Patienten, Informanten oder Mandanten ausgehöhlt werde. Mehr als 34.000 Menschen haben gegen die Einführung der Vorratsdatenspeicherung eine Massenklage beim Bundesverfassungsgericht eingereicht, die der ""Arbeitskreis Vorratsdatenspeicherung"" koordiniert. Auch Politiker von FDP, Grünen und der Partei Die Linke klagen. Die Daten müssen von den Telekommunikationsunternehmen auf eigene Kosten gespeichert werden. Mit zwei einstweiligen Anordnungen im März und November 2008 schränkte das Bundesverfassungsgericht den Umgang aber entscheidend ein: Die Daten dürfen nur bei schwerwiegenden Straftaten wie Mord, Raub und Totschlag an Ermittler weitergeleitet werden und wenn Gefahr für Leib oder Leben droht oder die Sicherheit des Bundes gefährdet ist. Darüber hinaus beschränkten die Richter den Zugriff auf die Daten für den Verfassungsschutz, den Bundesnachrichtendienst, den Militärischen Abwehrdienst und die Polizeibehörden in Bayern und Thüringen. Das Bundesverfassungsgericht muss feststellen, ob das Gesetz insgesamt verfassungsgemäß ist. Die Bundesregierung ist davon überzeugt, Datenschützer und Bürgerrechtler meinen hingegen: nein. Das Bundesverfassungsgericht könnte die Umsetzung der Vorratsdatenspeicherung in Deutschland generell für verfassungswidrig erklären oder Nachbesserungen verlangen. Zuvor hatte das Gericht ein Urteil des Europäische Gerichtshof abgewartet. Dieser musste entscheiden, ob die zugrunde liegende EU-Richtlinie überhaupt rechtmäßig zustande gekommen war. Irland hatte dagegen geklagt und argumentiert, dass die Richtlinie über Binnenmarkt-Vorschriften eingeführt wurde, obwohl es um Terror- und Krimininalitätsbekämpfung gehe. Der Europäische Gerichtshof sah dies jedoch als gerichtfertigt an, da die Speicherpflicht vor allem die Telekommunikationsunternehmen beträfe. Zu Fragen von Datenschutz und Privatsphäre äußerte er sich nicht. Hier liegt vieles im Dunkeln. Die Telekommunikationsunternehmen und Internet-Provider meldeten bereits organisatorische und technische Schwierigkeiten bei der Umsetzung. Wie oft und mit welchem Erfolg Ermittler auf Verbindungsdaten zugegriffen haben, ist unbekannt. Eine repräsentative Forsa-Umfrage - die nach dem Auffliegen der missbräuchlichen Nutzung von Verbindungsdaten durch Mitarbeiter der Deutschen Telekom durchgeführt wurde - ergab, dass fast jeder Bundesbürger die Datenspeicherung für einen zu großen Eingriff in die Freiheitsrechte der Bürger hält und die Mehrheit sensible Gespräche am Telefon vermeiden würde. Allerdings hatte nur jeder dreizehnte Befragte bereits tatsächlich einmal wegen der Vorratsdatenspeicherung auf Telefon, Handy oder E-Mail verzichtet. Gibt es eine Alternative zur Vorratsdatenspeicherung? Der Bundesbeauftragte für den Datenschutz, Peter Schaar, empfiehlt die ""Quick Freeze“-Methode: Statt generell Daten zu protokollieren, sollten die Ermittlungsbehörden die Möglichkeit haben, ab einem bestimmten Verdachtsmoment speichern zu lassen. So wird es schon bisher teilweise gemacht. Schaar verweist darauf, dass nach den Terroranschlägen von Madrid die vorhandenen Telefondaten zur Ermittlung von Verdächtigen ausgereicht hätten. Zusammengestellt von Fiete Stegers "
27.02.2010 19:20 Uhr,Fragen und Antworten,Wie entsteht ein Erdbeben?,"Warum bebt die Erde überhaupt von Zeit zu Zeit? Wieso werden Erdbeben nicht überall wahrgenommen? tagesschau.de hat für Sie die Antworten auf die wichtigsten Fragen rund um das Thema Erdbeben gesammelt. Im Durchschnitt treten weltweit jährlich etwa 50.000 Beben der Stärke drei bis vier und 800 der Stärke fünf oder sechs auf. Höchstens einmal im Jahr wird ein Beben größer als 8,0 registriert. Es können aber auch bis zu fünf Jahre vergehen, bis ein solches Großbeben irgendwo auf der Welt auftritt. Am 26. Dezember 2004 löste ein Seebeben einen Tsunami aus, der über die Küsten des Indischen Ozeans hereinbrach und mehr als 220.000 Menschen das Leben kostete. Die Stärke von Erdbeben wird mit einer Magnitude angegeben. Dabei entspricht die Differenz von einer Magnituden-Einheit (also beispielsweise von 3 auf 4) einer 32-fachen Zunahme der freigesetzten Energie. Magnitude 1 entspricht etwa einer Sprengkraft von 14 Kilogramm TNT. Explosionen dieser Größenordnung werden beispielsweise auf Baustellen eingesetzt. Magnitude 2 kommt der Explosionsenergie von einer Tonne TNT gleich. Solche Sprengungen werden etwa in großen Steinbrüchen durchgeführt. Magnitude 4 entspricht in etwa der Wirkung von 1000 Tonnen TNT und damit der Sprengkraft einer kleinen Nuklearwaffe. Die 1945 über Nagasaki abgeworfene Atombombe hatte eine umgerechnete Sprengkraft von etwa 25.000 Tonnen TNT und damit eine theoretische Magnitude von knapp unter 5. Die größte jemals von Menschen verursachte Explosion war die Zündung der Wasserstoffbombe ""Zar"" durch die Sowjetunion im Oktober 1961. Diese Detonation hatte eine Energie von umgerechnet mindestens 50.000.000 Tonnen TNT, was einer Magnitude von mehr als 7 auf der Richterskala entspricht. Trotz der prinzipiellen objektiven Beurteilung, die durch die Richterskala möglich wird, gibt es zu ein und dem selben Erdbeben häufig unterschiedliche Angaben. Diese hängen vom Standort der jeweiligen Seismometerstation und den verwendeten Methoden der Messungen ab. Die Energie, die bei einem Erdbeben frei wird, strahlt nicht gleichmäßig in alle Richtungen aus. Erschwerend kommt hinzu, dass die Erde keine homogene Masse ist und Untergrund am Standort der Messstation eine Rolle spielt. Die verschiedenen geologischen Formationen können die seismischen Wellen abschwächen oder verstärken. Wissenschaftler bewerten die Stärke eines Erdbebens deshalb inzwischen vorrangig anhand ihres seismischen Moments (Moment-Magnitude). Diese gibt am besten wieder, wie hoch die freigesetzte Energie insgesamt ist - unabhängig vom Standort der Messstation. Wie hoch diese ist, hängt ab von der zuvor im Gestein angestauten Spannung, der Größe der Bruchfläche und der Länge der Verschiebung, die bei einem Beben an der Störungsstelle auftritt. "
27.02.2010 04:40 Uhr,Interview mit Afrikanistin,"""Ein folgenschwerer Teil unserer Geschichte""","In Afrika nach Spuren der Kolonialzeit zu suchen, ist naheliegend. Doch auch in Deutschland gibt es koloniale Relikte. Nicht alle kann man sehen. Die Vorstellung, ""dass Schwarze allenfalls unsere Diener sein können, existiert in manchen Köpfen noch immer"", sagt Afrikanistin Bechhaus-Gerst im Gespräch mit tagesschau.de. tagesschau.de: Wie bewerten Sie Initiativen, wie das Tribunal zum Gedenken an 125 Jahre Berliner Afrika-Konferenz? Marianne Bechhaus-Gerst: Ich halte solche Initiativen für wichtig und überfällig. Sie machen bewusst, dass es sich um einen sehr wichtigen und folgenschweren Teil unserer Geschichte handelt. Denn von den Spätfolgen der Kolonisierung hat sich Afrika bis heute nicht ganz erholt. Deutschland beschäftigt sich allerdings zu wenig mit dieser Epoche. Sie ist kaum im öffentlichen Bewusstsein verankert. Auch auf der offiziellen politischen Ebene ist noch zu wenig passiert. Sogar für den Völkermord an den Herero gab es 2004 nur eine halbherzige Entschuldigung der damaligen Entwicklungsministerin Heidemarie Wieczorek-Zeul. tagesschau.de: Warum fällt das öffentliche Gedenken an diese Zeit eher dürftig aus? Bechhaus-Gerst: Das liegt sicher daran, dass die Zeit, in der Deutschland tatsächlich Kolonien hatte, nur von 1884 bis 1918, also 34 Jahre, dauerte. Man hat sich lange nicht damit beschäftigt, wie die politischen und historischen Prozesse danach verlaufen sind. Zum Beispiel weiß kaum jemand, dass es noch bis 1943 Bestrebungen gab, die Kolonien zurückzugewinnen. Ein anderer Grund ist die natürlich notwendige Aufarbeitung des Nationalsozialismus, die uns aber die Epoche der deutschen Kolonialzeit vergessen ließ. tagesschau.de: Welche Relikte aus der Kolonialzeit finden sich heute noch in der deutschen Alltagskultur? Bechhaus-Gerst: Viele Städte haben Straßennamen oder Denkmäler, die an vermeintliche Kolonialhelden oder vermeintliche deutsche Großtaten während der Kolonialzeit erinnern. Zu erwähnen wären hier zum Beispiel Straßen in verschiedenen Städten, die noch immer nach Carl Peters oder Hermann von Wissmann benannt sind, obwohl man beide als gewalttätige Kolonialisten bezeichnen kann. Diesbezüglich begann aber vor einiger Zeit eine Auseinandersetzung, die von verschiedenen Initiativen und auch Parteien forciert wird. tagesschau.de: Welche Bilder prägen heute außerdem die Vorstellung von Afrikanern? Bechhaus-Gerst: Die Medien vermitteln nur ein sehr eingeschränktes Bild von Afrika. Man hört und sieht meistens nur von Afrika, wenn es um Krieg, Hunger oder Armut geht. Die Bilder, die dann gezeigt werden, bestätigen sehr oft die Stereotypen vom Afrikaner, der sich selbst nicht entwickeln kann, der nicht arbeiten will. Diese Vorstellungen wurden zur Kolonialzeit und auch davor entwickelt, um den Kolonialismus - die gewaltsame Aneignung eines Kontinents - zu rechtfertigen. tagesschau.de: Wie entstand denn dieses Bild des Afrikaners, der nicht arbeiten will? Bechhaus-Gerst: Das Bild vom faulen Afrikaner wurde konstruiert, weil die Afrikaner nicht freiwillig auf den Plantagen der Deutschen arbeiten wollten. Diese Weigerung konnte man sich nach dem vorherrschenden Diskurs der Zeit nur durch die vermeintliche Faulheit und Dummheit der Afrikaner erklären. Dabei wollten sie sich die eigene Infrastruktur nicht zerstören lassen und waren nicht bereit, sich für einen Hungerlohn zu Tode zu arbeiten. tagesschau.de: Ein anderes Stereotyp ist die vermeintliche Omnipotenz der Afrikaner. Woher kommt dieses Bild? Bechhaus-Gerst: Diese Sexualisierung von Afrikanern war schon in der Kolonialzeit sehr dominant. Zum Bild des naturverbundenen, unzivilisierten Afrikaners gehörte auch eine angeblich animalische, ungezügelte Sexualität, die im Gegensatz zu der bedeckten Prüderie stand, die Ende des 19. Jahrhunderts in Deutschland herrschte. Diese Klischees finden sich auch heute noch zum Beispiel in der Werbung wieder. tagesschau.de: Sie sind Vertrauensdozentin für Studierende, die Opfer von Diskriminierungen sind. Welche Fälle sind typisch für die Diskriminierung von Afrikanern? Bechhaus-Gerst: Auch im akademischen Bereich gibt es Fälle, in denen Afrikaner und Afrikanerinnen als zu dumm erachtet werden, an der Universität mitzuhalten. Allerdings sind solche Fälle von Diskriminierung sehr selten. Im Alltag sieht das jedoch oft anders aus. Ich habe zum Beispiel von Situationen gehört, in denen Afrikanerinnen von wildfremden Männern 20 Euro angeboten wurden, damit sie mit zu ihnen nach Hause kämen. Die koloniale Vorstellung, dass sich Afrikanerinnen als Dienerinnen, Putzfrauen oder Prostituierte nützlich machen können, existiert noch immer in den Köpfen vieler Menschen. Die Fragen stellte Melanie Stinn für tagesschau.de "
26.02.2010 13:58 Uhr,Athens Probleme könnten sich verschärfen,Deutsche Banken meiden griechische Anleihen,"Große deutsche Banken wollen wegen der Wirtschaftskrise in Griechenland nicht mehr in Staatsanleihen des Landes investieren. Die verstaatlichte Hypo Real Estate (HRE), die bereits rund zehn Milliarden Euro in griechische Anleihen platziert hat, richte ihr Augenmerk jetzt auf den deutschen, französischen, italienischen oder spanischen Anleihemarkt, sagte ein HRE-Sprecher. Auch die Commerzbank-Tochter Eurohypo beschloss nach Angaben eines Sprechers, keine griechischen Papiere mehr zu kaufen. Die Eurohypo besitzt bereits griechische Papiere für 3,1 Milliarden Euro. Die Postbank - zurzeit mit Anleihen im Wert von 1,3 Milliarden Euro investiert - wolle in nächster Zeit ebenfalls keine Kaufoptionen auf weitere griechische Papiere ausüben, sagte ein Sprecher. Mehrere Landesbanken, die griechische Papiere besitzen, wollten sich nicht zu einem eventuellen Neukauf äußern. Athens Finanzprobleme könnten sich nun verschärfen. Sollten sich die Anleihegläubiger aus Deutschland und möglicherweise auch aus anderen Ländern tatsächlich von Griechenland abwenden, müsste das Land wohl höhere Zinsen anbieten. Dies würde den Kampf der Regierung gegen die enormen Staatsschulden zusätzlich erschweren. Griechenland bereitet seine zweite Staatsanleihe in diesem Jahr vor. Sie wird bis Anfang März erwartet. Nach den Worten des luxemburgischen Finanzministers Luc Frieden werden die Euro-Länder Griechenland notfalls mit Geld bei der Überwindung seiner Schuldenkrise helfen. ""Wir haben keine andere Wahl. Europa ist eine Solidargemeinschaft"", sagte Frieden dem ""Handelsblatt"". Alle Mitglieder des Währungsraums seien sich bewusst, ""dass ihnen der Euro in der Krise sehr geholfen hat, weil er stabil ist"", fügte der Minister hinzu. ""Wir werden nicht zulassen, dass Griechenland ein Risiko für den Euro-Raum wird."" Der griechische Ministerpräsident Giorgos Papandreou stimmte seine Landsleute derweil auf weitere, noch heftigere Sparmaßnahmen ein. Er rief alle Griechen auf, ""nur noch ans Überleben des Vaterlandes"" zu denken. Griechische Medien berichteten erneut, in dem kommenden Tagen werde ""ein Hagel von Sparmaßnahmen"" auf die Griechen zukommt. Einige große Hedgefonds spekulieren einem Zeitungsbericht zufolge in der griechischen Schuldenkrise gegen den Euro. Vertreter mehrerer Hedgefonds hätten sich am 8. Februar in New York zu einer privaten Dinner-Veranstaltung getroffen, berichtete das ""Wall Street Journal"". Dabei sei es um Geschäfte im Zusammenhang mit der Schuldenkrise in Europa gegangen. "
25.02.2010 14:55 Uhr,Konjunkturprognose für 2010,EU-Kommission bleibt skeptisch,"Die EU-Kommission bleibt im Hinblick auf die Konjunkturaussichten zurückhaltend: Um gerade mal 0,7 Prozent werde die Wirtschaft in der EU in diesem Jahr wachsen. Für Deutschland sieht die Kommission ein Plus von 1,2 Prozent. Damit bleibt die Behörde bei ihren Zahlen vom vergangenen Herbst. Von Peter Heilbrunner, SWR-Hörfunkstudio Brüssel Der Aufschwung in Europa steht auf wackligen Beinen - und dass, obwohl das wirtschaftliche Umfeld sich deutlich aufhellt. Weltweit soll das Wachstum bei 4,5 Prozent legen, prognostiziert die Brüsseler EU-Kommission. Der europäische Anteil an dieser Erholung ist jedoch gering: In der EU soll die Wirtschaft um gerade mal 0,7 Prozent zulegen. EU-Wirtschafts- und Währungskommissar Olli Rehn zieht dennoch ein positives Fazit: ""Alles in allem schreitet die wirtschaftliche Erholung in Europa voran, sie bleibt aber anfällig."" Deshalb müsse es das oberste Ziel bleiben, die Wirtschaft auf einen starken und nachhaltigen Wachstumspfad zurückzuführen, so der Finne. Frankreich und Deutschland, die beiden größten Volkswirtschaften in Europa, marschieren Hand in Hand aus der Krise und dürfen auf ein Wachstum von 1,2 Prozent hoffen. Nur Spanien kommt nicht aus dem Tal - die Regierung in Madrid muss warten. Spanien sei das einzige große EU-Land, so Olli Rehn, das mit einem weiteren Rückgang seiner Wirtschaftsleistung auch in diesem Jahr rechnen müsse. Insgesamt bleiben die Wachstumsaussichten aber nicht nur eingetrübt – sie sind auch mit großen Unsicherheiten behaftet. Die Unternehmen lassen ihre Maschinen und Bänder weiter nicht unter Volllast laufen, nicht zuletzt deshalb, weil die Verbraucher sich europaweit beim Einkaufen nach wie vor zurückhalten. Unklar ist auch, wie sich das langsame Rückführen der staatlichen Konjunkturhilfen auswirkt. Und: Die Banken bleiben weiterhin Sorgenkinder. ""Wir können nicht ausschließen, dass die Lage des Bankensektors die Kreditvergabe an Unternehmen und Haushalte behindert und damit auch die Erholung der Wirtschaft"", befürchtet Rehn. Im der nächsten Woche will die EU-Kommission ihre Wachstumsstrategie für Europa präsentieren. Sie soll dabei helfen, der EU-Wirtschaft neue Dynamik zu verleihen. Die jüngsten Prognosen allerdings lassen nur wenig Hoffnung aufkommen, dass es schon bald wieder kräftig aufwärts geht in Europa. Immerhin: Die Inflationsgefahren bleiben auch im laufenden Jahr gering, glauben die Experten. "
25.02.2010 14:05 Uhr,Verdacht auf illegale Preisabsprachen,Autozulieferer im Visier der EU-Kommission,"Die EU-Kommission hat eine Kartelluntersuchung in der Autoelektrik-Branche eingeleitet. Wie die Wettbewerbsbehörde mitteilte, wurden Büros einiger Autozulieferer durchsucht. Sie stünden im Verdacht, Preise für elektrische Systeme abgesprochen zu haben. Die betroffenen Unternehmen stellten Elektroverteilsysteme für Autos her. Dabei handelt es sich um die Kabelbäume, die den Bordcomputer mit den zahlreichen relevanten Funktionen eines Fahrzeugs verbinden. Das im M-DAX notierte Unternehmen Leoni teilte von sich aus mit, es sei von der Untersuchung betroffen. ""Vertreter der EU haben in unseren Räumlichkeiten Untersuchungen durchgeführt"", sagte ein Sprecher des Nürnberger Konzerns. Die Untersuchung betreffe den Geschäftsbereich Bordnetzsysteme. Leoni arbeite mit der Kommission zusammen und wolle den Sachverhalt aufklären, sagte er. Weitere Details nannte er nicht. "
25.02.2010 11:26 Uhr,Februarzahlen der Bundesagentur,Arbeitslosenzahl steigt kaum,"Die Zahl der Arbeitslosen in Deutschland ist im Februar deutlich geringer gestiegen als von Experten erwartet. Die Bundesagentur für Arbeit (BA) registrierte in diesem Monat 3,643 Millionen Arbeitslose. Das waren 26.000 mehr als im Januar und 91.000 mehr als vor einem Jahr. Die Arbeitslosenquote stieg im Monatsvergleich um 0,1 Punkte auf 8,7 Prozent. Nach Angaben von BA-Vorstandsmitglied Heinrich Alt blieben die Auswirkungen der Wirtschaftskrise weiter ""moderat"", der Winter habe sich nicht sehr stark ausgewirkt. Speziell die Kurzarbeit helfe, den Arbeitsmarkt zu stabilisieren. Allerdings sei die Zahl der konjunkturellen Kurzarbeiter im Dezember zurückgegangen auf 810.000, der Jahresdurchschnitt 2009 lag noch bei 1,08 Millionen. Von einem Ende der Talsohle auf dem Arbeitsmarkt wollte Alt jedoch nicht sprechen. Als Gründe für den im Vergleich zu vielen europäischen Nachbarn geringen Anstieg der Arbeitslosigkeit nannte er die Flexibilität von Unternehmen und Mitarbeitern. Experten hatten eine Zunahme um etwa 70.000 Arbeitslose im Vergleich zum Januar erwartet - auch, weil Schnee und Frost stärker als in den Vorjahren dafür sorgten, dass die Arbeit vielerorts ruhte. Vor allem auf Baustellen, aber auch im Landschaftsbau blieben Aufträge unerledigt.  Im vorigen Jahr war die Arbeitslosenzahl von Januar auf Februar um 63.000 gestiegen. Im Januar dieses Jahres hatte die Zahl der Menschen ohne Job um 342.000 auf 3,617 Millionen zugenommen. Die Arbeitslosenquote hatte sich um 0,8 Punkte auf 8,6 Prozent erhöht. "
24.02.2010 17:58 Uhr,EU-Verteidigungsminister beraten über A400M,"Spanische Ministerin spricht von ""Einigung""","Im monatelangen Streit um die Finanzierung der Mehrkosten des Militärtransporters A400M haben die sieben Käuferstaaten und der Hersteller offenbar eine Grundsatzeinigung erzielt. Das teilte die spanische Verteidigungsministerin Carme Chacon am Rande des Treffens der EU-Verteidigungsminister in Palma de Mallorca mit. Deutlich zurückhaltender zeigte sich Christian Schmidt, Parlamentarischer Staatssekretär im Bundesverteidigungsministerium: ""Ich bin erfahrener Verhandlungsanwalt. Und eines, was man nicht machen soll, ist, dass man Wasserstände über Verhandlungen alle halbe Stunde meldet. Verhandlungen zeichnen sich dadurch aus, dass sie am Schluss ein Ergebnis haben. Dieses Ergebnis liegt endgültig noch nicht vor, aber ich habe die begründete Erwartung, dass wir sehr nahe an einem solchen Ziel sind."" Die Auslieferung des Airbus A400M verzögert sich um mindestens drei Jahre. Die Käuferstaaten hatten insgesamt 180 der Propellermaschinen zum Gesamtwert von ursprünglich 20 Milliarden Euro bestellt. Sie streiten mit EADS seit Monaten über die Verteilung der Mehrkosten, die sich durch die Verzögerungen ergeben. Deutschland und Frankreich sind mit 60 beziehungsweise 50 Maschinen die größten Abnehmer des Militärtransporters. Daneben haben auch Belgien, Großbritannien, Luxemburg, Spanien und die Türkei das Flugzeug bestellt. "
24.02.2010 17:10 Uhr,Trotz Aufrufs griechischer Gewerkschaften,"Der Generalstreik, der keiner war","Die griechischen Gewerkschaften hatten zum Generalstreik gegen das Sparprogramm der Regierung aufgerufen - doch längst nicht alle beteiligten sich. Auch eine Demonstration lockte weniger Teilnehmer als erwartet. Insofern bestätigten sich Umfragen, nach denen die Mehrheit der Griechen hinter ihrer Regierung steht. Von Ulrich Pick, ARD-Hörfunkstudio Istanbul In der Tat waren weite Teile des öffentlichen Lebens in Griechenland durch die Proteste lahm gelegt. Denn neben den Journalisten hatten auch die Beamten die Arbeit niedergelegt, und von den Ärzten hieß es, sie würden nur Notfälle behandeln. Zudem ruhte den gesamten Tag über Flug- und Schienenverkehr sowie der Fährverkehr zu den Inseln. So gesehen dürften die Umfragen der vergangenen Tage die Stimmung im Land richtig wiedergeben. Es hieß nämlich, dass mehr als 86 Prozent der Griechen die Sparmaßnahmen der Regierung als nötig und unabwendbar bezeichnen. Allerdings hofft man auch, so dieser Athener, der lange in Deutschland gearbeitete hat, dass der Druck auf das Land nicht weiter ansteigt: ""Man muss abwarten, was die Griechen mit ihren Haushaltsdefizit machen können, man muss denen die Zeit geben sich damit zu beschäftigen. Vernünftig und konsequent und mit mindestens zwei Jahren Zeit."" Unterdessen bemüht sich die deutsche Botschaft in Athen, die teilweise hohen emotionalen Wogen zwischen Deutschland und Griechenland wieder zu glätten. Man bedauere, dass aktuelle deutsche Medienberichte von der griechischen Öffentlichkeit und von Medien als verletzend oder beleidigend empfunden wurden, hieß es. "
24.02.2010 15:14 Uhr,Trotz Aufrufs griechischer Gewerkschaften,Generalstreik bleibt offenbar aus,"Zahlreiche Branchen sind dem Aufruf der griechischen Gewerkschaften gefolgt und haben die Arbeit niedergelegt. Grund dafür: die geplanten Sparmaßnahmen der Regierung. Den ganzen Tag über gibt es keine Flüge und keine Nachrichten. Doch der befürchtete Generalstreik blieb bislang aus. Von Ulrich Pick, ARD-Hörfunkstudio Istanbul Sicher ist, dass für heute sämtliche Flüge von und nach Griechenland gestrichen sind. Denn der griechische Luftraum ist seit Mitternacht für 24 Stunden gesperrt. Zudem fahren den gesamten Tag über keine Fähren und Bahnen, der Busverkehr ist stark eingeschränkt. Dennoch scheint der Aufruf nicht von allen Griechen befolgt zu werden. So sind die meisten Geschäfte und Hotels sowie einige Schulen geöffnet. Darüber hinaus wird bei den Handelsschiffern, Taxichauffeure und einem gewissen Teil der Busfahrer normal gearbeitet. Für den späten Vormittag hatten die Gewerkschaften zu einer Großkundgebung in Athen aufgerufen. Über die Höhe der Teilnehmerzahl liegen noch keine genauen Information vor. Derweil ist ein heftiger Zwist zwischen deutschen und griechischen Medien entbrannt. So brachte gestern die griechische Zeitung ""Eleftheros Typos"" eine Fotomontage, auf der die Siegesgöttin Viktoria auf der Siegessäule in Berlin ein Hakenkreuz hält. Im entsprechenden Text war zu lesen: ""Finanznazitum bedroht Europa"" sowie: ""Es reicht mit der Verleumdung des Landes durch die Deutschen"". Auslöser war der Titel der jüngsten Ausgabe des Magazins ""Focus"". Dort ist eine Statue der Aphrodite abgebildet, die einen Stinkefinger zeigt. Darunter heißt es dann: ""Betrüger in der Euro-Familie"". "
